date,pop
2000-01-01,23.05160639214017
2000-02-01,23.052242910794444
2000-03-01,23.052879024550432
2000-04-01,23.05351473392293
2000-05-01,23.054143558754355
2000-06-01,23.05477198841359
2000-07-01,23.055400023397006
2000-08-01,23.055992086852445
2000-09-01,23.056583799976153
2000-10-01,23.05717516318248
2000-11-01,23.057850117713265
2000-12-01,23.058524616987693
2001-01-01,23.059198661619483
2001-02-01,23.059707925067954
2001-03-01,23.06021692929917
2001-04-01,23.06072567457688
2001-05-01,23.06124059604664
2001-06-01,23.06175525250874
2001-07-01,23.0622696442358
2001-08-01,23.062754858856387
2001-09-01,23.06323983815792
2001-10-01,23.06372458236854
2001-11-01,23.064193052117492
2001-12-01,23.064661302505296
2002-01-01,23.065129333737293
2002-02-01,23.06555870394752
2002-03-01,23.06598788987809
2002-04-01,23.06641689168712
2002-05-01,23.066816914093707
2002-06-01,23.067216776546353
2002-07-01,23.067616479172923
2002-08-01,23.06796488951433
2002-09-01,23.06831317850824
2002-10-01,23.068661346239164
2002-11-01,23.069031740266006
2002-12-01,23.069401997151907
2003-01-01,23.069772116998386
2003-02-01,23.07002091368493
2003-03-01,23.07026964848708
2003-04-01,23.070518321435618
2003-05-01,23.070668132976166
2003-06-01,23.07081792207658
2003-07-01,23.07096768874358
2003-08-01,23.07117159027259
2003-09-01,23.071375450234246
2003-10-01,23.071579268645486
2003-11-01,23.07180851471349
2003-12-01,23.072037708239773
2004-01-01,23.072266849248425
2004-02-01,23.072445033739843
2004-03-01,23.07262318648721
2004-04-01,23.072801307501823
2004-05-01,23.072998475909724
2004-06-01,23.073195605449907
2004-07-01,23.07339269613769
2004-08-01,23.07358339208312
2004-09-01,23.073774051670537
2004-10-01,23.073964674913807
2004-11-01,23.074069502210932
2004-12-01,23.074174318520445
2005-01-01,23.07427912384465
2005-02-01,23.074406145876793
2005-03-01,23.07453315177639
2005-04-01,23.074660141547533
2005-05-01,23.074850595972364
2005-06-01,23.075041014131216
2005-07-01,23.075231396037893
2005-08-01,23.075377330957526
2005-09-01,23.075523244583263
2005-10-01,23.075669136921316
2005-11-01,23.075846716261697
2005-12-01,23.07602426407325
2006-01-01,23.076201780367178
2006-02-01,23.076331727675313
2006-03-01,23.076461658099337
2006-04-01,23.07659157164364
2006-05-01,23.076686619642953
2006-06-01,23.076781658609
2006-07-01,23.0768766885435
2006-08-01,23.077041385706963
2006-09-01,23.077206055749738
2006-10-01,23.077370698680756
2006-11-01,23.077551141525973
2006-12-01,23.077731551817447
2007-01-01,23.077911929566916
2007-02-01,23.07812391094499
2007-03-01,23.078335847396477
2007-04-01,23.078547738940426
2007-05-01,23.078715322839482
2007-06-01,23.078882878658884
2007-07-01,23.079050406408033
2007-08-01,23.07916102255589
2007-09-01,23.079271626469172
2007-10-01,23.079382218150577
2007-11-01,23.079505434475948
2007-12-01,23.079628635620928
2008-01-01,23.079751821589255
2008-02-01,23.079859202104846
2008-03-01,23.079966571091102
2008-04-01,23.080073928550497
2008-05-01,23.080162331922512
2008-06-01,23.08025072748006
2008-07-01,23.080339115224525
2008-08-01,23.080389618999696
2008-09-01,23.08044012022436
2008-10-01,23.080490618898782
2008-11-01,23.080569517972705
2008-12-01,23.080648410822054
2009-01-01,23.080727297447815
2009-02-01,23.08081564308123
2009-03-01,23.08090398091039
2009-04-01,23.080992310936658
2009-05-01,23.08107432468978
2009-06-01,23.0811563317172
2009-07-01,23.081238332020014
2009-08-01,23.081329785964346
2009-09-01,23.081421231545615
2009-10-01,23.08151266876536
2009-11-01,23.081553655150003
2009-12-01,23.08159463985483
2010-01-01,23.081635622879983
2010-02-01,23.08162301289729
2010-03-01,23.081610402755583
2010-04-01,23.08159779245486
2010-05-01,23.0815694186968
2010-06-01,23.081541044133647
2010-07-01,23.08151266876536
2010-08-01,23.081531585767014
2010-09-01,23.081550502410824
2010-10-01,23.0815694186968
2010-11-01,23.08139600601359
2010-12-01,23.08122256325321
2011-01-01,23.08104909040522
2011-02-01,23.08086296788875
2011-03-01,23.080676810724235
2011-04-01,23.080490618898782
2011-05-01,23.080279138678495
2011-06-01,23.080067613724864
2011-07-01,23.079856044018964
2011-08-01,23.079581252361425
2011-09-01,23.079306385172675
2011-10-01,23.079031442411182
2011-11-01,23.078645763120857
2011-12-01,23.078259935024622
2012-01-01,23.077873958007608
2012-02-01,23.07747516955959
2012-03-01,23.077076222015904
2012-04-01,23.076677115249545
2012-05-01,23.07627784913338
2012-06-01,23.075878423540104
2012-07-01,23.075478838342274
2012-08-01,23.075044187460023
2012-09-01,23.074609347574228
2012-10-01,23.074174318520445
2012-11-01,23.073656482554856
2012-12-01,23.073138378296242
2013-01-01,23.07262000546645
2013-02-01,23.072177745095157
2013-03-01,23.071735289043083
2013-04-01,23.071292637136988
2013-05-01,23.070824295583186
2013-06-01,23.070355734582797
2013-07-01,23.06988695393007
2013-08-01,23.069411570942698
2013-09-01,23.068935961858855
2013-10-01,23.068460126463375
2013-11-01,23.067952105959094
2013-12-01,23.067443827238794
2014-01-01,23.066935290039854
2014-02-01,23.066519312663022
2014-03-01,23.066103162177004
2014-04-01,23.065686838437657
2014-05-01,23.06531199882137
2014-06-01,23.064937018647658
2014-07-01,23.064561897811068
2014-08-01,23.064212299604893
2014-09-01,23.063862579137066
2014-10-01,23.063512736322046
2014-11-01,23.06322378300526
2014-12-01,23.06293474617032
2015-01-01,23.062645625768933
2015-02-01,23.06229214283366
2015-03-01,23.061938534904012
2015-04-01,23.061584801891566
2015-05-01,23.061227726240816
2015-06-01,23.060870523041498
2015-07-01,23.060513192202457
2015-08-01,23.060136407907006
2015-09-01,23.059759481591637
2015-10-01,23.059382413149248
2015-11-01,23.059317942773365
2015-12-01,23.059253468240783
2016-01-01,23.059188989550968
2016-02-01,23.058885884006653
2016-03-01,23.05858268656151
2016-04-01,23.058279397159794
2016-05-01,23.057995383267023
2016-06-01,23.057711288687447
2016-07-01,23.0574271133752
2016-08-01,23.057159010363897
2016-09-01,23.05689083545409
2016-10-01,23.056622588607212
2016-11-01,23.056477123482217
2016-12-01,23.056331637194045
2017-01-01,23.05618612973653
2017-02-01,23.055959742710773
2017-03-01,23.055733304422326
2017-04-01,23.055506814847966
2017-05-01,23.055383841879213
2017-06-01,23.055260853786248
2017-07-01,23.055137850565348
2017-08-01,23.055066631258413
2017-09-01,23.054995406878927
2017-10-01,23.054924177426162
2017-11-01,23.05458414876333
2017-12-01,23.054244004441674
2018-01-01,23.05390374438249
2018-02-01,23.05384216114219
2018-03-01,23.053780574109158
2018-04-01,23.05371898328293
2018-05-01,23.053741675081305
2018-06-01,23.053764366364774
2018-07-01,23.05378705713336
2018-08-01,23.05383891981396
2018-09-01,23.05389077980496
2018-10-01,23.05394263710664
2018-11-01,23.053981528318204
2018-12-01,23.0540204180173
2019-01-01,23.054059306204046
2019-02-01,23.054094952380105
2019-03-01,23.05413059728556
2019-04-01,23.0541662409205
2019-05-01,23.054150039425753
2019-06-01,23.05413383766851
2019-07-01,23.054117635648765
2019-08-01,23.054062546818013
2019-09-01,23.054007454952313
2019-10-01,23.053952360051333
